mapping_id	source_id	source_path	source_sha256	sha_status	observed_sha256	pathway_location	domain_candidate	content_type_candidate	target_contract	mapping_status	blockers	observed_review	source_preserved	content_modified
MAP-7.5-SRC-0020	SRC-0020	02_Internship/Clinical_Skills/README.md	6e3156e5deabcbbf63b6b8c7f0c097bf66941a59c0267a4f86603e254901119b	MATCH	6e3156e5deabcbbf63b6b8c7f0c097bf66941a59c0267a4f86603e254901119b	Clinical Foundation > Clinical Skills	Skills / Procedures	clinical_skill	Skills schema candidate — explicit contract required	BLOCKED	SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=CANDIDATE_REVIEW_REQUIRED	true	false
MAP-7.5-SRC-0023	SRC-0023	02_Internship/Drug_Essentials/drug_essentials_intern_level_v2.md	bb0508f5b5a4bbdbf4919d28f4115f444c26ed514c2c4f50f13723bab91225fb	MATCH	bb0508f5b5a4bbdbf4919d28f4115f444c26ed514c2c4f50f13723bab91225fb	Clinical Foundation > Drug Essentials	Learning Content	lesson	lesson	BLOCKED	SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED;DUP-DRUG-001	clinical_review_status=NOT_PERFORMED; mapping_status=CANDIDATE_REVIEW_REQUIRED	true	false
MAP-7.5-SRC-0024	SRC-0024	02_Internship/Drug_Essentials/implementation_notes.md	810d08ed40ef7f190995b2eead2d8ee670d06de511223e1455dea5bb3d9d1e1e	MATCH	810d08ed40ef7f190995b2eead2d8ee670d06de511223e1455dea5bb3d9d1e1e	Clinical Foundation > Drug Essentials	Learning Content	lesson	lesson	BLOCKED	SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED;DUP-DRUG-001	clinical_review_status=NOT_PERFORMED; mapping_status=CANDIDATE_REVIEW_REQUIRED	true	false
MAP-7.5-SRC-0025	SRC-0025	02_Internship/Drug_Essentials/README.txt	64469d1134e1045a96230469388ea31b7f4adc797be7f2260696df30a0e93401	MATCH	64469d1134e1045a96230469388ea31b7f4adc797be7f2260696df30a0e93401	Clinical Foundation > Drug Essentials	Learning Content	lesson	lesson	BLOCKED	SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED;DUP-DRUG-001	clinical_review_status=NOT_PERFORMED; mapping_status=CANDIDATE_REVIEW_REQUIRED	true	false
MAP-7.5-SRC-0027	SRC-0027	02_Internship/Drug_Essentials_v2_Pack/drug_essentials_intern_level_v2.md	2bc084ccf0d074cf22573b8ca352b0918eb1ca448eed8f2a6885a3f5e2777d27	MATCH	2bc084ccf0d074cf22573b8ca352b0918eb1ca448eed8f2a6885a3f5e2777d27	Clinical Foundation > Drug Essentials	Learning Content	lesson	lesson	BLOCKED	SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED;DUP-DRUG-001	clinical_review_status=NOT_PERFORMED; mapping_status=CANDIDATE_REVIEW_REQUIRED	true	false
MAP-7.5-SRC-0028	SRC-0028	02_Internship/Drug_Essentials_v2_Pack/implementation_notes.md	5a30d419e6aa14626652532d3d657a7657f4cea2dc49980805497d29d5a36831	MATCH	5a30d419e6aa14626652532d3d657a7657f4cea2dc49980805497d29d5a36831	Clinical Foundation > Drug Essentials	Learning Content	lesson	lesson	BLOCKED	SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED;DUP-DRUG-001	clinical_review_status=NOT_PERFORMED; mapping_status=CANDIDATE_REVIEW_REQUIRED	true	false
MAP-7.5-SRC-0029	SRC-0029	02_Internship/Drug_Essentials_v2_Pack/README.txt	5c2377e8c30aa6c901eb5bb5a3b4c6679c33f27de883c480a42e38eab6282eb5	MATCH	5c2377e8c30aa6c901eb5bb5a3b4c6679c33f27de883c480a42e38eab6282eb5	Clinical Foundation > Drug Essentials	Learning Content	lesson	lesson	BLOCKED	SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED;DUP-DRUG-001	clinical_review_status=NOT_PERFORMED; mapping_status=CANDIDATE_REVIEW_REQUIRED	true	false
MAP-7.5-SRC-0033	SRC-0033	02_Internship/Emergency_Cases/emergency_cases_intern_level.md	2b3afae2bf4d19d837f0075ca979c5810d49eb3e82f0dcb9356ce1a47962a99c	MATCH	2b3afae2bf4d19d837f0075ca979c5810d49eb3e82f0dcb9356ce1a47962a99c	Learning Engine > Clinical Cases	Clinical Cases	clinical_case	Case schema candidate — explicit contract required	BLOCKED	SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED;DUP-EMERGENCY-001	clinical_review_status=NOT_PERFORMED; mapping_status=CANDIDATE_REVIEW_REQUIRED	true	false
MAP-7.5-SRC-0034	SRC-0034	02_Internship/Emergency_Cases/implementation_notes.md	6b74fe4e4b450289df6cb54358f32f46da737236646310da9784d5cefde649a8	MATCH	6b74fe4e4b450289df6cb54358f32f46da737236646310da9784d5cefde649a8	Learning Engine > Clinical Cases	Clinical Cases	clinical_case	Case schema candidate — explicit contract required	BLOCKED	SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED;DUP-EMERGENCY-001	clinical_review_status=NOT_PERFORMED; mapping_status=CANDIDATE_REVIEW_REQUIRED	true	false
MAP-7.5-SRC-0035	SRC-0035	02_Internship/Emergency_Cases/README.txt	e22eeb24f6ed69e75ae1d4d6c90e4ce67a4b0549a2c7af5364e578011e8a17bd	MATCH	e22eeb24f6ed69e75ae1d4d6c90e4ce67a4b0549a2c7af5364e578011e8a17bd	Learning Engine > Clinical Cases	Clinical Cases	clinical_case	Case schema candidate — explicit contract required	BLOCKED	SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED;DUP-EMERGENCY-001	clinical_review_status=NOT_PERFORMED; mapping_status=CANDIDATE_REVIEW_REQUIRED	true	false
MAP-7.5-SRC-0037	SRC-0037	02_Internship/Emergency_Cases_v2_Pack/emergency_cases_intern_level.md	455983813a4f540fc6b5f9520e245886ed775c1ae472ade79ce7089b6ed068a4	MATCH	455983813a4f540fc6b5f9520e245886ed775c1ae472ade79ce7089b6ed068a4	Learning Engine > Clinical Cases	Clinical Cases	clinical_case	Case schema candidate — explicit contract required	BLOCKED	SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED;DUP-EMERGENCY-001	clinical_review_status=NOT_PERFORMED; mapping_status=CANDIDATE_REVIEW_REQUIRED	true	false
MAP-7.5-SRC-0038	SRC-0038	02_Internship/Emergency_Cases_v2_Pack/implementation_notes.md	4fedbe459e19e938cb63fb164d025e651593d0b7dc56a75237d05c8fd83d3495	MATCH	4fedbe459e19e938cb63fb164d025e651593d0b7dc56a75237d05c8fd83d3495	Learning Engine > Clinical Cases	Clinical Cases	clinical_case	Case schema candidate — explicit contract required	BLOCKED	SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED;DUP-EMERGENCY-001	clinical_review_status=NOT_PERFORMED; mapping_status=CANDIDATE_REVIEW_REQUIRED	true	false
MAP-7.5-SRC-0039	SRC-0039	02_Internship/Emergency_Cases_v2_Pack/README.txt	81d8a30163db1bc453c936dc9815a42630acebd88f48905d4befb44b626c0ce1	MATCH	81d8a30163db1bc453c936dc9815a42630acebd88f48905d4befb44b626c0ce1	Learning Engine > Clinical Cases	Clinical Cases	clinical_case	Case schema candidate — explicit contract required	BLOCKED	SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED;DUP-EMERGENCY-001	clinical_review_status=NOT_PERFORMED; mapping_status=CANDIDATE_REVIEW_REQUIRED	true	false
MAP-7.5-SRC-0041	SRC-0041	02_Internship/Internship books SEG/IM_HighYield_Review.pdf	d6374402fc43b236023cebf6679240c4229d6e570be4f81a216a9498a9f7543d	MATCH	d6374402fc43b236023cebf6679240c4229d6e570be4f81a216a9498a9f7543d	UNRESOLVED — no unique pathway location supported by Phase 5.6 evidence	Reference / Atlas	book	Reference schema candidate — explicit contract required	BLOCKED	PATHWAY_LOCATION_UNRESOLVED;SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=UNRESOLVED_REVIEW	true	false
MAP-7.5-SRC-0042	SRC-0042	02_Internship/Internship books SEG/ObGyn_HighYield_Review_Dr_Alaa_Aqrabawi.pdf	2ea59d2787806fc09d0922f0e8116b08e41ca57c2aaa2aa42b4d179f1f9138f9	MATCH	2ea59d2787806fc09d0922f0e8116b08e41ca57c2aaa2aa42b4d179f1f9138f9	UNRESOLVED — no unique pathway location supported by Phase 5.6 evidence	Reference / Atlas	book	Reference schema candidate — explicit contract required	BLOCKED	PATHWAY_LOCATION_UNRESOLVED;SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=UNRESOLVED_REVIEW	true	false
MAP-7.5-SRC-0043	SRC-0043	02_Internship/Internship books SEG/Pediatrics_HighYield_Review.pdf	9817f7cf2a905d76deb029a1658f81eb1c0e4e05e7de104ea71b6914626aee7a	MATCH	9817f7cf2a905d76deb029a1658f81eb1c0e4e05e7de104ea71b6914626aee7a	Core Rotations > Pediatrics	Reference / Atlas	book	Reference schema candidate — explicit contract required	BLOCKED	SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=CANDIDATE_REVIEW_REQUIRED	true	false
MAP-7.5-SRC-0044	SRC-0044	02_Internship/Internship books SEG/Surgery_HighYield_Review.pdf	c5d05145b2cb796da45a07870ef4b7917890efb42731761f3cbba96282c8dc8f	MATCH	c5d05145b2cb796da45a07870ef4b7917890efb42731761f3cbba96282c8dc8f	Core Rotations > Surgery	Reference / Atlas	book	Reference schema candidate — explicit contract required	BLOCKED	SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=CANDIDATE_REVIEW_REQUIRED	true	false
MAP-7.5-SRC-0046	SRC-0046	02_Internship/Internship_Guides/Intern_Professionalism_Guide.md	9b86500a51bef6b28db1b8636f99b77f153353711392c59e91ccf191eb7863f1	MATCH	9b86500a51bef6b28db1b8636f99b77f153353711392c59e91ccf191eb7863f1	UNRESOLVED — no unique pathway location supported by Phase 5.6 evidence	Learning Content	lesson	lesson	BLOCKED	PATHWAY_LOCATION_UNRESOLVED;SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=UNRESOLVED_REVIEW	true	false
MAP-7.5-SRC-0047	SRC-0047	02_Internship/Internship_Guides/Intern_Transition_Guide.md	0fa4aaff3bc1e698e15f8e51a405aa33d2ec8f72199a54e8271ed38e62d0efc2	MATCH	0fa4aaff3bc1e698e15f8e51a405aa33d2ec8f72199a54e8271ed38e62d0efc2	UNRESOLVED — no unique pathway location supported by Phase 5.6 evidence	Learning Content	lesson	lesson	BLOCKED	PATHWAY_LOCATION_UNRESOLVED;SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=UNRESOLVED_REVIEW	true	false
MAP-7.5-SRC-0068	SRC-0068	02_Internship/JMC_Exam_Practice/Reviewed/internal-medicine-intern-jmc.md	7fe6260a61598ba5aaf41652cee25c9a6fb63cdccc511e176005109eb5d2feb0	MATCH	7fe6260a61598ba5aaf41652cee25c9a6fb63cdccc511e176005109eb5d2feb0	UNRESOLVED — no unique pathway location supported by Phase 5.6 evidence	Assessment	question_bank	question_bank	BLOCKED	PATHWAY_LOCATION_UNRESOLVED;SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=UNRESOLVED_REVIEW	true	false
MAP-7.5-SRC-0069	SRC-0069	02_Internship/JMC_Exam_Practice/Reviewed/obgyn-intern-jmc.md	d7516728cccd2f008f2d1d17ccb20c12724dee94566a780aa05f4c093d6159ee	MATCH	d7516728cccd2f008f2d1d17ccb20c12724dee94566a780aa05f4c093d6159ee	UNRESOLVED — no unique pathway location supported by Phase 5.6 evidence	Assessment	question_bank	question_bank	BLOCKED	PATHWAY_LOCATION_UNRESOLVED;SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=UNRESOLVED_REVIEW	true	false
MAP-7.5-SRC-0070	SRC-0070	02_Internship/JMC_Exam_Practice/Reviewed/pediatrics-intern-jmc.md	b6b682469b93b74713589db3747e00aa94d33a8e75a439e91f2d79f382c6122b	MATCH	b6b682469b93b74713589db3747e00aa94d33a8e75a439e91f2d79f382c6122b	UNRESOLVED — no unique pathway location supported by Phase 5.6 evidence	Assessment	question_bank	question_bank	BLOCKED	PATHWAY_LOCATION_UNRESOLVED;SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=UNRESOLVED_REVIEW	true	false
MAP-7.5-SRC-0071	SRC-0071	02_Internship/JMC_Exam_Practice/Reviewed/surgery-intern-jmc.md	8e0e975051fb0bf814d84516b356de0171d5cc24ac41d4c5340cb0dd6827d035	MATCH	8e0e975051fb0bf814d84516b356de0171d5cc24ac41d4c5340cb0dd6827d035	UNRESOLVED — no unique pathway location supported by Phase 5.6 evidence	Assessment	question_bank	question_bank	BLOCKED	PATHWAY_LOCATION_UNRESOLVED;SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=UNRESOLVED_REVIEW	true	false
MAP-7.5-SRC-0072	SRC-0072	02_Internship/JMC_Exam_Practice/Reviewed/_manifest.md	f69b14e2030f58e348d8591743a4ba10a95a1fcb41a8fe06f2dfefa581e7a34c	MATCH	f69b14e2030f58e348d8591743a4ba10a95a1fcb41a8fe06f2dfefa581e7a34c	UNRESOLVED — no unique pathway location supported by Phase 5.6 evidence	Assessment	question_bank	question_bank	BLOCKED	PATHWAY_LOCATION_UNRESOLVED;SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=UNRESOLVED_REVIEW	true	false
MAP-7.5-SRC-0074	SRC-0074	02_Internship/JMC_Exam_Practice/Sources_Phone/internal-medicine-internship.md	d36ae18c178d3677eed265264418550e7453c6f7d9552d47f3e914922c76b706	MATCH	d36ae18c178d3677eed265264418550e7453c6f7d9552d47f3e914922c76b706	UNRESOLVED — no unique pathway location supported by Phase 5.6 evidence	Assessment	question_bank	question_bank	BLOCKED	PATHWAY_LOCATION_UNRESOLVED;SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=UNRESOLVED_REVIEW	true	false
MAP-7.5-SRC-0075	SRC-0075	02_Internship/JMC_Exam_Practice/Sources_Phone/internal-medicine-study-summary.md	8ee1ac17b5443ad879e4e4777a188c6a540afc867f2ee60522e8f96b5b61d1f4	MATCH	8ee1ac17b5443ad879e4e4777a188c6a540afc867f2ee60522e8f96b5b61d1f4	UNRESOLVED — no unique pathway location supported by Phase 5.6 evidence	Assessment	question_bank	question_bank	BLOCKED	PATHWAY_LOCATION_UNRESOLVED;SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=UNRESOLVED_REVIEW	true	false
